name,year,sat,feature,area,areadirec,artscale,component,iso3c,id,layername,names,opacity,pathclose,perimeter,regions,rules,strokewei,style,vertexcou,style,uid,ee_nightlights_sum,ee_source,ee_reductionscale
Afghanistan,2006,16,162006,5.96998856139e+11,1,1,1,AFG,-214748364,WB-Country Polys,Afghanistan,100,1,5027927.23932,SOA,None,1,,1507,{},j101,86315.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Afghanistan,2007,15,152007,5.96998856139e+11,1,1,1,AFG,-214748364,WB-Country Polys,Afghanistan,100,1,5027927.23932,SOA,None,1,,1507,{},j101,62463.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Afghanistan,2007,16,162007,5.96998856139e+11,1,1,1,AFG,-214748364,WB-Country Polys,Afghanistan,100,1,5027927.23932,SOA,None,1,,1507,{},j101,98268.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Afghanistan,2008,15,152008,5.96998856139e+11,1,1,1,AFG,-214748364,WB-Country Polys,Afghanistan,100,1,5027927.23932,SOA,None,1,,1507,{},j101,61093.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Afghanistan,2008,16,162008,5.96998856139e+11,1,1,1,AFG,-214748364,WB-Country Polys,Afghanistan,100,1,5027927.23932,SOA,None,1,,1507,{},j101,77954.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Afghanistan,2009,16,162009,5.96998856139e+11,1,1,1,AFG,-214748364,WB-Country Polys,Afghanistan,100,1,5027927.23932,SOA,None,1,,1507,{},j101,83708.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Afghanistan,2010,18,182010,5.96998856139e+11,1,1,1,AFG,-214748364,WB-Country Polys,Afghanistan,100,1,5027927.23932,SOA,None,1,,1507,{},j101,152492.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Afghanistan,2011,18,182011,5.96998856139e+11,1,1,1,AFG,-214748364,WB-Country Polys,Afghanistan,100,1,5027927.23932,SOA,None,1,,1507,{},j101,137501.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Afghanistan,2012,18,182012,5.96998856139e+11,1,1,1,AFG,-214748364,WB-Country Polys,Afghanistan,100,1,5027927.23932,SOA,None,1,,1507,{},j101,166147.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Afghanistan,2013,18,182013,5.96998856139e+11,1,1,1,AFG,-214748364,WB-Country Polys,Afghanistan,100,1,5027927.23932,SOA,None,1,,1507,{},j101,151866.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,1992,10,101992,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,9570.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,1993,10,101993,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,25957.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,1994,10,101994,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,30329.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,1994,12,121994,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,46500.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
Albania,1995,12,121995,27812865460.6,1,1,1,ALB,-214748364,WB-Country Polys,Albania,100,1,1076561.80925,ECA,None,1,,535,{},j100,54199.0,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000
