system:index,time,j1,j10,j100,j101,j102,j103,j104,j105,j106,j107,j108,j109,j11,j110,j111,j112,j113,j114,j115,j116,j117,j118,j119,j12,j120,j121,j122,j123,j124,j125,j126,j127,j128,j129,j13,j130,j131,j132,j133,j134,j135,j136,j137,j138,j139,j14,j140,j141,j142,j143,j144,j145,j146,j147,j148,j149,j15,j150,j151,j152,j153,j154,j155,j156,j157,j158,j159,j16,j160,j161,j162,j163,j164,j165,j166,j167,j168,j169,j17,j170,j171,j172,j173,j174,j175,j176,j177,j178,j179,j18,j180,j181,j182,j183,j184,j185,j186,j187,j188,j189,j19,j190,j191,j192,j193,j194,j195,j196,j197,j198,j199,j2,j20,j200,j201,j202,j203,j204,j205,j206,j207,j208,j209,j21,j210,j211,j212,j213,j214,j215,j216,j217,j218,j219,j22,j220,j221,j222,j223,j224,j225,j226,j227,j228,j229,j23,j230,j231,j232,j233,j234,j235,j236,j237,j238,j239,j24,j240,j241,j242,j243,j244,j245,j246,j247,j248,j249,j25,j250,j251,j26,j27,j28,j29,j3,j30,j31,j32,j33,j34,j35,j36,j37,j38,j39,j4,j40,j41,j42,j43,j44,j45,j46,j47,j48,j49,j5,j50,j51,j52,j53,j54,j55,j56,j57,j58,j59,j6,j60,j61,j62,j63,j64,j65,j66,j67,j68,j69,j7,j70,j71,j72,j73,j74,j75,j76,j77,j78,j79,j8,j80,j81,j82,j83,j84,j85,j86,j87,j88,j89,j9,j90,j91,j92,j93,j94,j95,j96,j97,j98,j99,.geo
F152005,1104537600000,21612426,130701,72291,72412,4155,792196,427702,4172,259,17,0,0,0,0,0,27357,660,46001,6638759,266898,0,2,0,22812,0,1705205,1436307,172840,1381,0,63763,8991490,2205572,151144,12661,1389329,0,1222979,68358,531,2691273,670639,2044854,53508,1672,9742,4055,220491,277303,18383,17844,5636797,14204,8969460,557507,120599,778,57316,158,818307,1012,5455,154241,185707,2979,6266931,591942,28552,147664,429990,2101860,7975,4354453,233340,12975,1182,9281,781,225835,63577,4770196,1813,449,3355,908893,1722,2726,11550,918,472046,130691,524149,7598,1482626,6343,246,643357,4732557,153961,5868020,19030,5489301,132140,14618,54,2446,331640,219088,288554,12848,615,233,587275,4145540,38,14814,78183,4503,41562,14493,25257,29827,812259,5394,11675,58818,507203,83539,0,326057,429,45576,251549,1131234,1797,5666,2803197,528,1945,590,917,2748718,1697,1880,1262865,95637,131222,397482,2052,1175,63892,414521,1944335,39,53899,2274331,38954,47675780,988,860005,965,1225544,808,9030,600207,1583,159,4119,1257,267512,1058476,145370,144992,4186678,15037090,393729,35,54564,1822097,1232,140,20,14,815284,55,6542,16727,48264,130,47732,40658,27173,113000,98117,371,507928,1898011,2764,180699,78885,10142,4179,5130,842041,2817,216392,19627,30862,69584,230268,4369,89970,995787,193,774656,15494,175324,3078,102708,10353,211,116267,71465,53944,1235380,1851,4454,1391256,7259,71848,43648,31945,0,755170,2535,52125,10165,156859,1633,634045,63,462,254171,24994,506536,25290,17509,1217177,2774,862265,12041,
F162005,1104537600000,20858727,127249,82362,75533,4420,774976,418889,4667,227,17,0,0,0,0,0,27686,623,45408,6722837,273115,0,0,0,19616,0,1785239,1429179,182507,5156,0,65231,9797862,2397757,143998,14749,1378405,0,1190241,66896,555,2386414,646576,1973058,60171,1462,10684,3849,222127,307725,19474,19906,5812578,12633,8574715,525830,137567,762,57141,136,908161,1258,6074,159680,209316,2983,5824664,527070,33169,155462,440946,2098813,8304,4373867,231055,14197,1316,7643,824,217024,64386,4654669,2030,589,2611,927878,1881,2377,11633,606,499149,138214,518833,9678,1508336,7210,175,690318,4858314,146052,5680090,20427,5647041,142234,15902,34,2450,342707,254643,264008,13268,638,843,597878,4204547,48,13945,74074,4271,44493,15004,25342,28854,847854,6289,12091,64059,522162,89700,0,380841,453,41195,252139,1133629,1784,5431,2765424,378,1745,629,741,2471507,1769,2059,1313742,107056,144595,406937,1506,1112,67336,446230,1933463,41,52276,2287244,41506,47157365,820,908286,1285,1374319,985,9431,599568,1630,201,3896,1347,279351,1104945,144395,135722,3627435,15821958,379592,39,51873,1565341,1258,130,26,18,885172,70,5894,17333,47553,161,45392,41917,26621,117981,100635,429,543679,1839297,2927,171979,69453,9680,3736,5069,879049,3204,199414,18918,31664,71464,226080,4640,91653,1051985,100,847361,15048,192646,3165,104859,10427,185,118800,73038,52649,1283023,2192,4041,1193107,7505,68772,46685,33643,0,736969,3110,54075,11476,156401,1856,542278,63,430,256898,24037,514672,24014,18659,1110734,2564,853765,11381,
F152006,1136073600000,21342537,125545,74160,64420,4043,787033,433055,6247,232,16,0,0,0,0,0,27696,704,48015,6637180,260846,0,0,0,16451,0,1727837,1464303,189489,2155,2,64943,9194019,2290448,149150,12596,1476287,0,1168555,74866,580,2845961,683283,2157418,55602,1549,10826,4124,217677,221773,19349,18650,5796418,15314,8693080,574113,130915,772,54988,148,846317,974,5663,160128,185169,3233,5913035,642907,26283,149059,441112,2138054,7714,4342015,261864,13639,1266,7103,848,212777,49294,4613160,1920,613,3157,895936,2120,2081,12247,429,422661,137903,425619,7250,1511843,7076,185,664408,4817473,130767,5611099,21427,5423897,124918,15099,39,2566,310704,218185,226923,12128,626,482,488611,4132459,46,15373,77746,3979,43064,14977,25815,25590,845535,5668,10460,57787,505974,89050,0,343451,451,43458,255478,1146948,1690,5552,2888859,655,2092,548,805,3063547,1718,2129,1346377,98738,109530,353476,1665,1078,78845,439090,2038398,33,49838,2002289,38999,46410299,992,833100,966,1281432,875,9090,642823,1100,155,4182,1403,282390,923695,151378,153437,4142345,16060294,407393,31,55792,1791496,1209,129,20,8,703742,37,6362,18156,45414,239,49614,38407,29256,97375,92587,429,524536,1922629,2709,161995,71439,10036,3106,5476,855851,3275,190562,23092,26283,47958,239649,4562,85773,948180,173,656264,15070,178883,3760,85564,10488,225,116285,75262,57560,1324291,2015,5213,1214728,7242,73140,49018,33084,0,614940,2908,52479,10491,155917,1788,596822,63,449,186899,25368,388695,26014,18042,1162061,3812,820718,10845,
F162006,1136073600000,20089974,136825,82047,86315,4399,971638,469718,6677,250,17,0,0,0,0,0,28147,687,46897,7294199,287820,0,0,0,21565,0,1970220,1602514,205370,425,0,82618,10756575,2803099,166603,14085,1407588,0,1244303,89073,711,2232080,731095,2354693,64186,1804,11816,4617,267643,265439,20769,21867,6898436,13274,8409076,597569,164915,798,66427,190,993025,997,6361,179264,193055,3538,5945659,597844,33207,169571,507091,2414728,8932,4832735,222935,17325,1370,4116,897,226450,61749,5024792,2192,763,3307,1028288,2643,2848,12936,496,465345,155837,507861,8056,1975704,7771,168,716868,5634485,140142,6197327,21194,5671994,154060,18256,16,2995,358082,299290,253784,15743,703,1666,556248,4511494,71,15101,85397,4210,53280,16369,30159,35918,902359,6044,12153,58681,575815,91674,0,339313,413,50789,278608,1287946,1767,6145,3230164,491,2316,563,840,2643328,2211,2427,1477779,112825,150674,420109,2328,1244,92003,542736,2201228,41,63510,2189054,43973,49953153,1029,1020922,1263,1470482,1116,10193,760704,1389,198,5687,1028,321182,1031050,167051,177871,4166364,18129628,445142,41,52981,1330937,1391,156,23,7,863089,62,6733,20142,52400,300,46948,44366,32711,105559,96116,446,629872,2024036,3115,171893,75930,11822,3489,6214,1006562,4070,215458,26533,29551,57551,278206,5787,101553,1159238,197,744156,16286,202097,4281,101411,12682,208,132589,88769,70236,1569428,2397,5038,1230417,7918,84426,60604,35216,0,656064,3393,62140,12344,181581,1978,555873,63,492,231747,25537,468480,27926,20197,1166318,4864,845478,11464,
F152007,1167609600000,22111261,129940,65748,62463,4047,771773,435288,6105,172,18,0,0,0,0,0,26572,675,45245,6770472,253939,0,0,0,14827,0,1642920,1423739,185950,3906,4,55640,9258247,2295283,149407,11969,1493616,0,1219313,79162,625,2474430,687095,2006390,62311,1483,11519,4202,207373,206936,18099,18515,5892433,12383,10423382,525302,123533,744,51524,122,779960,725,5405,138208,159407,3128,5503064,516984,30189,126150,424040,2124296,8536,4429616,241761,12325,1283,9795,541,199127,50654,4870256,2022,832,4242,882215,2247,3582,10787,427,371553,136774,454915,7871,1430040,7999,106,713993,4706876,158419,5698310,17542,5283490,127161,14945,50,2615,287478,212491,236076,11706,674,645,464540,3905770,38,14948,69186,3117,44352,15724,24295,23321,845372,5176,10408,53646,488337,68016,0,328062,365,35375,247688,1169580,1752,5030,2985543,617,2056,571,735,2822874,1763,2152,1299442,97778,122465,333499,2017,942,92020,443483,2201077,30,45701,1736747,44369,48148279,933,827301,1104,1149425,922,9077,612948,2493,135,4006,910,309034,887151,174020,137138,3226831,16325463,376880,33,44798,2030318,1244,104,20,0,626568,45,6377,17430,45508,132,53911,36609,32216,86617,81687,431,507136,1847231,2759,137789,63851,10179,2623,5231,792222,3103,162654,20995,24715,43118,248801,5108,76431,842584,137,578694,14387,180771,5883,63380,10020,225,100643,82780,59995,1268758,1991,5030,950653,7536,66828,52559,29634,0,621851,2621,52311,10942,155923,1704,549841,63,388,205638,25496,421434,26018,21004,1089803,3074,770092,10303,
F162007,1167609600000,26087086,161356,100040,98268,4691,1024063,495031,11023,267,23,0,0,0,0,0,27873,676,49254,8138328,318666,0,0,0,27403,0,2122773,1744799,247645,3566,0,80629,13799493,3149134,177464,18309,1786430,0,1385365,104657,827,2662664,809536,2564380,85151,2073,15679,5307,335034,356478,22750,25626,7526808,16333,11804725,685436,172701,779,71309,179,1126353,875,7728,215635,246303,3783,6595758,669178,42083,197997,569529,2687032,10383,5541688,254618,16167,1523,10832,1066,240921,64730,5550631,2522,914,5942,1143553,2970,4094,14813,164,454939,185887,563949,11861,1916648,9250,122,878674,6528459,204471,6919260,25037,6290271,199217,22787,31,3247,339529,329939,288952,15730,741,1972,652949,5238754,68,16047,101833,4197,61910,19922,32123,36862,1027588,7197,16379,75125,621884,110679,0,473511,610,45379,298428,1489893,1910,7015,3656814,869,2636,741,1040,3166827,2430,2778,1757396,129970,184944,472595,3408,1422,112612,597719,2988042,36,64433,2268256,50362,58205977,1142,1174111,1501,1567644,1222,10367,869804,3630,230,6770,1434,454755,1218793,201936,183378,3893481,21366197,480886,48,67623,2214209,1649,181,27,3,922136,77,9641,25882,60126,214,63166,48436,38806,129927,101885,465,745839,2213053,3327,177359,78821,14573,3731,6877,1118088,5425,216306,33926,37633,66799,304901,6459,106229,1182735,205,795310,17171,243331,7131,91456,14893,239,136586,128383,75433,1773566,2752,6215,1173160,8445,93553,70140,40131,0,747407,3877,70326,13409,208136,2110,643602,63,567,250587,26981,568172,31248,27781,1272021,4710,930047,11910,
F152008,1199145600000,23830012,139993,78037,61093,4668,770719,459627,7035,200,22,0,0,0,0,0,28056,625,46326,7633102,270900,0,0,0,13238,0,1721755,1565099,155878,4283,0,57603,8767484,2071053,167312,4668,1573367,0,1518445,77467,774,2970329,770469,2254528,71604,1688,10968,5276,190447,245947,17929,12747,5819288,16,11016811,577499,38606,794,46138,166,322810,476,4126,167921,204719,3683,6792671,545044,24940,142573,347388,2285845,4406,4788906,238250,10820,1607,8371,0,231258,37936,5243801,2336,31,1497,929415,2765,4650,16606,86,515067,118170,577260,9718,1214595,7767,146,735383,5633576,193712,6518349,19390,6011037,124319,18382,0,2845,293046,1249,250048,14667,0,422,711738,4158800,0,15610,61424,3432,53398,15401,28044,30831,213057,7036,13483,61257,520081,66204,0,245038,282,30318,285272,1273307,1707,6391,2993150,787,3029,598,241,3102615,2302,2721,1004615,115169,98405,397491,2030,1117,108819,385403,2367548,31,37707,1853661,28126,52069935,1192,910572,1003,903241,1001,10191,549822,1416,218,3578,954,278746,1223029,218196,159224,4249983,17967368,395054,34,25991,2240699,1200,167,34,12,383013,37,6014,17465,47537,169,54928,45632,28061,99487,67810,471,454211,2224815,3489,180334,93210,11663,3510,6869,735926,3897,190011,15817,18089,56449,274171,6270,62480,795805,181,858625,17583,178668,3334,57806,10895,237,3472,88173,38024,1248945,1560,5372,1288934,8913,64609,39778,24678,0,758344,6694,55014,13649,170393,2137,558317,63,620,293519,27416,615045,20992,11695,1443741,2393,982571,13287,
F162008,1199145600000,24247348,168565,105588,77954,4484,876968,475381,11718,221,20,0,0,0,0,0,28569,710,50303,8034817,298721,0,0,0,27378,0,1959993,1721654,237246,1860,0,85161,13118268,2509101,169198,19145,1828023,0,1424848,124105,786,2980765,795089,2615733,95333,1927,13245,5454,279106,371243,22293,23020,7426970,17200,11768752,653900,170670,797,73209,178,1132200,780,7313,212801,237023,3697,6677246,594557,29121,187956,537863,2641032,9348,5242840,280205,19055,1535,11168,990,238249,73422,5179715,2394,973,7635,1072522,2895,5368,13842,27,465099,176951,583774,11007,1861886,8093,107,821423,6159271,181305,6772556,26187,6064884,178700,23295,38,3169,323002,295253,287407,16764,692,593,673293,5145185,50,15510,111018,3540,63212,19644,31765,38146,1043814,7852,14805,78502,644894,103207,0,425526,363,51331,290605,1425439,1777,7391,3711650,938,2937,759,1126,3122608,2365,2722,1538235,124616,132119,471941,3556,1345,115790,535196,3099121,40,64923,2329739,52664,57237391,1098,1040518,1308,1625468,1099,9796,802238,1974,226,6491,1397,434149,1341726,208086,188472,3992208,21128059,492177,55,56751,2113814,1434,197,23,9,918540,51,9649,22041,55067,150,64579,50409,37470,126887,102509,434,675259,2160760,3408,204546,87355,15621,3608,6855,1069636,4564,190065,34284,27900,59493,299031,6197,100125,1095228,245,834042,16389,232712,7203,74898,14580,233,160638,133914,75635,1700377,2119,6935,1238548,8217,87791,65762,42048,0,803597,3358,65382,12503,202158,1950,605984,63,556,293945,27165,635579,31507,29148,1351873,4170,967897,13347,
F162009,1230768000000,24027424,179441,88184,85059,4059,823731,480461,10336,264,20,0,0,0,0,0,28218,858,47227,7829340,296287,0,0,0,27311,0,1923199,1728816,215195,895,0,81661,12515327,2604671,173849,16933,1724760,0,1371875,142424,765,2795867,765509,2592276,72415,1785,14025,6094,227654,275056,19130,19753,7285285,17400,10202836,671153,170182,593,70441,227,1033744,844,5815,193886,219461,3698,6825683,591114,36308,154820,554456,2610126,8258,5195363,283452,11790,1388,6478,869,249672,64724,5158412,2185,1012,8577,995949,2798,2355,13956,112,431019,161251,544310,15287,1859982,6855,174,757599,5394882,105732,6683757,28353,5992605,153289,16782,13,3234,307430,285174,238206,17040,678,405,632156,4668988,47,15778,61775,3311,66789,16636,30579,33930,976201,7269,13635,76946,611422,101051,0,384902,263,33597,274718,1310212,1902,7470,3499785,948,2718,646,883,2644560,2235,2436,1172849,122036,61342,366191,3971,1355,119730,491913,2451791,28,63060,2033383,51355,54352185,1037,783600,1141,1554436,802,9387,762809,3653,235,7107,1407,337584,1234530,217503,196354,4340807,19869713,478143,53,45658,1947024,1332,185,18,6,844617,63,6965,20727,53748,187,68382,42528,34899,108893,100295,361,647920,2110326,2964,173894,77807,16855,3567,6818,948281,5126,167033,29264,24318,70256,318003,4671,96271,1235808,267,721842,16315,222933,7740,70958,11845,156,137988,98605,62786,1509213,2436,6715,1402308,7768,91514,64166,40641,0,777999,3052,64302,11866,196188,1818,625272,0,568,236729,28015,519911,31430,30021,1289983,4299,995107,13849,
F182010,1262304000000,37055356,253482,131099,153906,4265,1321105,586597,23883,451,32,0,0,0,0,0,29447,881,51763,11445221,422317,0,0,0,47976,0,2711847,2297890,392244,670,0,129003,18941876,3322998,226578,26624,2487781,0,2026473,229472,1091,4913691,1007599,3602031,112128,2655,25002,7783,397559,458670,27427,35824,11148267,25307,14402121,967454,268952,605,110810,312,1609578,2891,11709,306471,417917,4639,12137231,1404570,51937,254811,774532,3323366,14119,6817245,653648,27480,2738,23752,1683,393271,94188,7323753,2603,1301,16929,1431550,4040,3770,21272,620,766017,249631,844734,36450,2705034,10036,202,1261882,7732278,227735,8716875,44033,7502491,270891,105304,67,4270,381249,430284,871384,30142,883,907,979986,6743960,72,17616,428118,4610,117461,26330,39828,62392,1492521,12245,20814,114334,965661,151680,0,714117,680,45630,331933,1772189,2208,10193,5308429,1721,4452,793,1937,6073305,3284,3341,3068230,165222,134921,659889,6489,1904,148838,769890,4158145,45,113832,4164170,73387,72068986,1165,1344502,1687,2036571,1151,10469,1407143,7362,310,13231,3312,609394,1926116,277060,302095,9532877,30641950,729121,67,76800,3777992,1751,181,22,16,1385440,81,15249,38472,84531,243,131687,68531,57743,156572,192979,374,955571,2820110,3475,537331,137387,23130,4946,9185,1524463,7889,264275,83771,56771,102800,453248,6172,131269,1793795,251,1142146,19834,337425,11224,126132,19641,174,235948,168125,110193,2571661,3988,9292,2420948,8924,144279,98767,65193,0,1170128,6233,93825,14061,310230,2212,1940435,0,642,364008,31917,850787,50189,47444,1852642,8239,1576392,15456,
F182011,1293840000000,31889937,237700,124140,138135,4285,1068397,542772,20752,372,19,0,0,0,0,0,29021,919,52959,8498263,359248,0,0,0,40698,0,2346954,1991796,345869,3523,8,133950,16121398,2705953,210180,24917,2310728,0,1449267,211443,908,3144421,976223,3251171,113165,2386,25817,7595,310691,419416,23700,32161,9540845,25655,12483962,858461,181501,611,96389,227,1317915,1446,9843,240733,350185,4259,7664587,715252,42362,231397,706871,3030545,11744,5752655,347014,10964,1956,13332,1259,260769,79146,5337851,1756,1239,17183,1126290,3145,6462,19455,16,547755,222986,647729,32615,2518793,7105,172,814365,6176175,240823,7565545,40226,6409933,211105,68029,15,4160,343737,346515,530058,23217,620,1001,849974,5977893,34,16205,335998,4094,106637,24112,33126,46733,1286417,10307,17430,90608,892374,136847,0,522745,271,38676,300740,1590925,1903,8807,4989877,1554,4953,915,1289,3876756,2942,2844,2587802,127205,108301,560056,5398,1616,132201,619362,3795969,48,90061,3162964,62569,61071745,1043,980364,1224,1858403,993,9712,1092181,5299,259,14798,2506,451016,1819960,266342,262639,6038454,27368808,684512,64,59746,2588259,1791,274,21,16,1152804,79,13441,35541,72602,185,122681,71209,50872,134470,149498,341,850686,2457094,3160,295570,92894,18807,4963,8536,1011362,7873,210565,64526,40908,92946,412519,5083,111800,1661837,366,833366,17289,275959,9767,114923,18312,152,198673,174111,98295,2212271,3419,8433,1482112,8455,124371,81147,55733,0,833649,5439,73687,12595,284773,1676,1415803,0,715,340277,31847,666170,43480,39794,1396734,6384,1099439,13117,
F182012,1325376000000,32633090,265046,128070,166147,4762,841411,555283,17203,353,14,0,0,0,0,0,29448,720,49207,9323345,401910,0,0,0,44371,0,2581790,2238638,366826,680,0,149349,17826504,2966516,213941,29618,2420281,0,1630772,248197,1032,4139822,1043004,3558948,139444,2418,29305,6766,403419,443046,25197,33884,11025954,23677,11646091,933806,211328,809,109242,188,1516009,1751,9901,273245,341333,4450,8672696,900332,50303,241239,824449,3146280,10259,5827679,465645,13449,2354,13637,1073,306807,88755,5719744,2553,1802,16781,1214123,3662,2839,20223,0,652803,220745,802856,28005,2839329,8986,100,928246,6785423,205125,8252304,43788,6679571,216303,44507,29,4049,396521,415424,517506,26247,865,927,935178,6074188,72,16166,285995,3880,132521,28565,35484,50702,1433842,12603,22457,100515,1013914,150397,0,549435,338,46623,302541,1617161,2164,7910,5504366,1517,5731,746,1768,4399118,3249,3298,2596109,128765,141241,592496,7580,1769,138540,685272,4609837,66,104657,3687906,69073,59738291,1131,998562,1699,2133598,1492,10544,1199129,5590,283,17414,2008,428422,2003118,296300,331983,7261434,28516443,756536,88,43679,2935595,1927,212,30,0,1205638,88,14175,43113,79503,120,145167,70506,52917,154661,201306,485,941579,2504563,3856,334640,106682,20121,4838,8597,1104100,10368,196623,71368,50667,115915,414810,6377,115918,1870389,260,964385,18200,305630,8861,120545,20006,261,247948,211208,104595,2441111,3788,8483,1840661,9464,142522,82354,66842,0,975303,4625,89129,14051,297677,2205,1530591,63,544,376102,32101,764088,51772,45172,1555338,7935,1333996,13464,
